name,type,parent_module,full_path,links_out,links_in,lines
core_connect.py,module,,app\core_connect.py,1,1,413
load_trash_history,function,core_connect.py,app\core_connect.py,4,0,20
save_trash_history,function,core_connect.py,app\core_connect.py,1,0,18
_parse_spreadsheet_id,function,core_connect.py,app\core_connect.py,2,1,11
_resolve_source_url,function,core_connect.py,app\core_connect.py,2,2,13
_require_google_sheet_url,function,core_connect.py,app\core_connect.py,1,1,9
ConnectGoogle,class,core_connect.py,app\core_connect.py,16,10,227
_,function,core_connect.py,app\core_connect.py,23,0,0
_find_row_by_id_columns,function,core_connect.py,app\core_connect.py,1,2,14
ConnectGoogleError,class,core_connect.py,app\core_connect.py,1,15,8
SpreadsheetMeta,class,core_connect.py,app\core_connect.py,0,1,7
IdRow,class,core_connect.py,app\core_connect.py,0,1,6
FieldRecord,class,core_connect.py,app\core_connect.py,0,2,8
GoogleConnectionStatus,class,core_connect.py,app\core_connect.py,0,2,8
GoogleIdSheetTable,class,core_connect.py,app\core_connect.py,0,1,7
GoogleSessionBundle,class,core_connect.py,app\core_connect.py,0,2,5
TemplateTrashHistory,class,core_connect.py,app\core_connect.py,0,3,5
template_history_path,function,core_connect.py,app\core_connect.py,0,2,3
FetchFieldsResult,class,core_connect.py,app\core_connect.py,0,1,6
_id_column_for_rule,function,core_connect.py,app\core_connect.py,0,1,5
_column_names_for_rule,function,core_connect.py,app\core_connect.py,0,2,8
_apply_regex,function,core_connect.py,app\core_connect.py,0,1,12
_id_equals,function,core_connect.py,app\core_connect.py,0,1,13
core_registry.py,module,,app\core_registry.py,0,3,288
SortTemplates,class,core_registry.py,app\core_registry.py,0,0,285
ArrageInputView,class,core_registry.py,app\core_registry.py,0,0,3
core_store.py,module,,app\core_store.py,2,2,389
_resolve_records_id,function,core_store.py,app\core_store.py,4,1,14
_suffix_token_from_path,function,core_store.py,app\core_store.py,1,5,8
_parse_suffix_token,function,core_store.py,app\core_store.py,1,3,4
_read_active_suffix_token,function,core_store.py,app\core_store.py,2,1,8
_write_active_suffix_token,function,core_store.py,app\core_store.py,3,3,6
_active_pointer_path,function,core_store.py,app\core_store.py,1,2,2
_db_path_for_suffix_token,function,core_store.py,app\core_store.py,1,3,2
list_db_paths,function,core_store.py,app\core_store.py,6,2,28
default_db_path,function,core_store.py,app\core_store.py,9,1,25
allocate_next_db_path,function,core_store.py,app\core_store.py,5,0,23
_reject_forbidden_db_suffix,function,core_store.py,app\core_store.py,1,1,17
_normalize_id,function,core_store.py,app\core_store.py,4,2,21
_build_payload_from_toml,function,core_store.py,app\core_store.py,2,1,20
SecureSQLite,class,core_store.py,app\core_store.py,7,1,94
_,function,core_store.py,app\core_store.py,0,0,0
_current_year,function,core_store.py,app\core_store.py,0,3,2
_is_valid_suffix_token,function,core_store.py,app\core_store.py,0,4,2
_template_dir,function,core_store.py,app\core_store.py,0,4,3
_sqlite_safe_int,function,core_store.py,app\core_store.py,0,4,8
_auto_records_id,function,core_store.py,app\core_store.py,0,1,3
_has_valid_id_value,function,core_store.py,app\core_store.py,0,2,7
_json_safe_value,function,core_store.py,app\core_store.py,0,1,5
_row_from_db,function,core_store.py,app\core_store.py,0,2,6
UiProvider,class,core_store.py,app\core_store.py,0,2,81
core_toml.py,module,,app\core_toml.py,1,4,866
InputSection,class,core_toml.py,app\core_toml.py,1,8,25
_input_section_from_dict,function,core_toml.py,app\core_toml.py,2,2,22
TomlGenerator,class,core_toml.py,app\core_toml.py,9,10,103
GetTomlValues,class,core_toml.py,app\core_toml.py,7,10,61
_,function,core_toml.py,app\core_toml.py,39,0,0
TomlDefault,class,core_toml.py,app\core_toml.py,5,9,37
_toml_string,function,core_toml.py,app\core_toml.py,2,2,16
_optional_string,function,core_toml.py,app\core_toml.py,1,7,12
_id_lookup_key,function,core_toml.py,app\core_toml.py,1,1,12
_validate_id_rules,function,core_toml.py,app\core_toml.py,4,3,43
_validate_field_regexes,function,core_toml.py,app\core_toml.py,1,1,19
VerifyTomlReport,class,core_toml.py,app\core_toml.py,2,2,42
_parse_sources,function,core_toml.py,app\core_toml.py,1,1,23
_config_from_dict,function,core_toml.py,app\core_toml.py,5,4,24
_field_from_dict,function,core_toml.py,app\core_toml.py,1,2,18
_dict_to_toml,function,core_toml.py,app\core_toml.py,4,1,57
_scan_worksheet_labels_diagonal,function,core_toml.py,app\core_toml.py,1,1,37
_headers_from_first_row,function,core_toml.py,app\core_toml.py,1,1,16
resolve_db_id,function,core_toml.py,app\core_toml.py,1,1,11
verify_toml,function,core_toml.py,app\core_toml.py,10,8,61
load_toml,function,core_toml.py,app\core_toml.py,2,1,19
ensure_exists,function,core_toml.py,app\core_toml.py,2,0,19
_core_toml_path,function,core_toml.py,app\core_toml.py,0,4,10
_is_unmapped,function,core_toml.py,app\core_toml.py,0,10,10
_needs_literal_string,function,core_toml.py,app\core_toml.py,0,1,18
_extract_toml_text,function,core_toml.py,app\core_toml.py,0,1,22
